A.J. Cook
Khloé Kardashian
Kiernan Shipka
Kim Basinger
Kim Kardashian
Kimberley Garner
Kimiko Glenn
Kira Kosarin
Kirsten Dunst
Kourtney Kardashian
Krista Allen
Kristen Bell
Kristen Stewart
Kristen Wiig
Kristin Chenoweth
Kristin Davis
Kristin Kreuk
Kristina Klebe
Kristy Swanson
Krysten Ritter
Kylie Jenner
Kylie Minogue
Léa Seydoux
Lacey Chabert
Lady Gaga
Lais Ribeiro
Lake Bell
Lalaine
Lana Del Rey
Lara Flynn Boyle
Lark Voorhies
Larsen Thompson
Laura Harrier
Laura Linney
Laura Prepon
Laura Wiggins
Lauren Ambrose
Lauren Bacall
Lauren Cohan
Lauren Holly
Lauren London
Lívia Rusz
Lea Michele
Lea Seydoux
Leah Remini
Leelee Sobieski
Leighton Meester
Leila Lowfire
Lena Gercke
Lena Headey
Lena Meyer-Landrut
Leslie Bibb
Leslie Mann
Li Gong
Lili Reinhart
Lili Simmons
Lily Chee
Lily Collins
Lily James
Lily Sheen
Lily-Rose Depp
Linda Cardellini
Linda Evangelista
Lindsay Lohan
Lindsey Pelas
Lindsey Vonn
Lisa Bonet
Lisa Kudrow
Liv Tyler
Liza Minnelli
Lizzo
Lizzy Caplan
Lorde
Lucy Hale
Lucy Lawless
Lucy Liu
Lucy Pinder
Ludivine Sagnier
Lupita Nyong’o
Lupita Nyong'o
Lynda Carter
Lyndsy Fonseca
Mélanie Laurent
Mackenzie Davis
Mackenzie Foy
Mackenzie Ziegler
Maddie Ziegler
Madelaine Petsch
Madeleine Stowe
Madison Beer
Madison Pettis
Madison Riley
Madisyn Shipman
Madonna
Mae West
Mae Whitman
Maggie Grace
Maggie Gyllenhaal
Maggie Q
Maggie Smith
Mahaley Patel
Maia Mitchell
Maisie Williams
Majandra Delfino
Malin Åkerman
Malin Akerman
Mandy Moore
María Pedraza
Margaret Qualley
Margaret Thatcher
Margot Robbie
Margrethe II of Denmark
Maria Bakalova
Maria Bello
Maria Grazia Cucinotta
Maria Menounos
Maria Sharapova
Maria Thayer
Mariah Carey
Marilyn Monroe
Marin Hinkle
Marion Cotillard
Marisa Coughlan
Marisa Tomei
Marlene Dietrich
Marley Shelton
Marsha Thomason
Mary Elizabeth Winstead
Mary J. Blige
Mary McCormack
Mary-Kate Olsen
Mary-Louise Parker
Maryse
Maude Apatow
Maya Hawke
McKayla Maroney
Meagan Good
Meg Ryan
Megan Fox
Megan Thee Stallion
Meghan Markle
Megyn Price
Melanie Lynskey
Melissa Benoist
Melissa Fumero
Melissa George
Melissa Rauch
Melissa Sagemiller
Melora Hardin
Mena Suvari
Meryl Streep
Mia Wasikowska
Michael Hague
Michael Kaluta
Michelle Borth
Michelle Burke
Michelle Jenneke
Michelle Monaghan
Michelle Pfeiffer
Michelle Rodriguez
Michelle Trachtenberg
Michelle Williams
Michelle Yeoh
Miesha Tate
Mila Kunis
Milana Vayntrub
Milein Cosman
Miley Cyrus
Milla Jovovich
Millie Bobby Brown
Ming-Na Wen
Mini Anden
Minka Kelly
Mira Sorvino
Miranda Cosgrove
Miranda Kerr
Molly Knox Ostertag
Molly Ringwald
Molly Sims
Monica Bellucci
Moon Bloodgood
